,name,price,rating,id,country_of_origin
78,Elka iskusstvennaja novogodnjaja litaja el' sosna na novyj god,709,5,16487383,Russia
79,"Elka iskusstvennaja 150, 180, 210, 240 sm Elka novogodnjaja",4498,5,44801227,Russia
80,Elka iskusstvennaja Novogodnjaja s shishkami,4779,5,42664282,China
81,El' novogodnjaja Verona zasnezhennaja 180sm,6952,5,42625418,Russia
82,Iskusstvennaja elka so snegom i shishkami,4112,5,98148982,China
83,"Elka ""Sibirskaja"" s nastojaschimi shishkami",10291,5,52700025,Belarus
84,Iskusstvennaja el' s shishkami i napyleniem,2755,5,122279882,
85,Elka iskusstvennaja Novogodnjaja elka iskusstvennaja 120 sm,2397,5,131719056,Russia
86,Elka Iskusstvennaja Novogodnjaja 1m 130-150-180-2m -2.2 ELOChKI,4752,5,126778006,Russia
87,Iskusstvennaja elka so snegom i shishkami,1700,5,98148983,China
88,Elka iskusstvennaja El' s jagodami 180 sm,4335,4,42769636,
89,El' iskusstvennaja Favorit 160 sm,8216,5,26937113,Russia
90,Elka iskusstvennaja Elka novogodnjaja Karmen 180sm,7819,5,106557412,Poland
91,Elka iskusstvennaja Elka novogodnjaja Karmen 200sm,8831,5,106557415,Poland
92,Elka novogodnjaja iskusstvennaja pushistaja sosna 210 sm,3332,5,42694979,China
93,Elka iskusstvennaja Elka novogodnjaja Krasavitsa 200sm,5700,5,132601310,Poland
94,Elka iskusstvennaja Elka napol'naja s zhivymi shishkami 180 sm,2325,5,125990920,China
95,Elka iskusstvennaja 210 sm pushistaja novogodnjaja dlja prazdnika,2845,5,101806482,China
96,Elka iskusstvennaja Elka napol'naja s zhivymi shishkami 240 sm,4175,5,125828584,China
97,Novogodnjaja elka Elka iskusstvennaja El',2184,4,101785333,China
98,"Elka iskusstvennaja 150, 180, 210, 240 sm Elka novogodnjaja",1798,5,44801224,Russia
99,Elka iskusstvennaja El' Novogodnjaja elka,3118,5,16228280,China
